Date,Name,X,Y,Z
2154-05-01,Uranus,-495316888.8791683,-2584262947.452537,-1124800320.5014083
2154-05-01,Neptune,875069806.0844868,-4096400474.5982833,-1698463068.0855343
2154-05-01,Pluto,780784336.8915452,6595186044.631308,1823107788.1478965
2154-06-01,Sun,0.0,0.0,0.0
2154-06-01,Mercury,14267585.522396095,-58468388.859994814,-32707671.153158467
2154-06-01,Venus,-107783164.9007887,-3383211.368943316,5276669.474777313
2154-06-01,Earth,-55937429.445635915,-129738903.64275983,-56190350.17103106
2154-06-01,Mars,167338320.2593541,126050610.03630275,53364693.225662455
2154-06-01,Jupiter,545330018.1446183,470629824.78350633,188437706.7821816
2154-06-01,Saturn,-1087759136.9555585,758004481.5482483,360330562.8503245
2154-06-01,Uranus,-477475632.901156,-2587791696.2241597,-1126597537.2283323
2154-06-01,Neptune,889253956.682001,-4093563739.008086,-1697655173.139656
2154-06-01,Pluto,770482396.9413282,6593562493.815222,1825705209.2282605
2154-07-01,Sun,0.0,0.0,0.0
2154-07-01,Mercury,32674436.04342402,30815216.537082057,13109825.604946775
2154-07-01,Venus,-71789754.40182573,-76050539.47659168,-29724557.346369665
2154-07-01,Earth,18646498.49005257,-138821804.89564857,-60128211.18058058
2154-07-01,Mars,123309430.62472413,168691781.81765538,74100008.4705467
2154-07-01,Jupiter,521299661.3320941,494168916.19879526,199107845.74027553
2154-07-01,Saturn,-1104212321.5226896,739217146.7295207,353277413.6012668
2154-07-01,Uranus,-460191416.6799683,-2591106500.243935,-1128293194.2055192
2154-07-01,Neptune,902971810.9382373,-4090778275.1093197,-1696856653.2436318
2154-07-01,Pluto,760510634.235263,6591972976.088402,1828213764.728414
2154-08-01,Sun,0.0,0.0,0.0
2154-08-01,Mercury,-57633223.26296179,-25653740.382209305,-7738084.287434792
2154-08-01,Venus,14694556.263079686,-98302496.14777093,-45207736.12901312
2154-08-01,Earth,90590887.50329575,-112111484.99706861,-48562813.25550128
2154-08-01,Mars,67330819.86486512,198426947.83157995,89233588.64921589
2154-08-01,Jupiter,495291522.5872964,517375754.308786,209683598.1007422
2154-08-01,Saturn,-1120815808.39777,719537133.3402414,345861820.1230308
2154-08-01,Uranus,-442312681.49359643,-2594428303.220025,-1130000306.103413
2154-08-01,Neptune,917137749.3421534,-4087858411.181736,-1696014280.769306
2154-08-01,Pluto,750204291.9770806,6590311511.637415,1830800679.7014744
2154-09-01,Sun,0.0,0.0,0.0
2154-09-01,Mercury,27027563.68491536,-52607178.26241894,-30881915.246693052
2154-09-01,Venus,90935477.09829243,-52460171.441450626,-29374437.925212424
2154-09-01,Earth,138370986.48480466,-55705845.1718304,-24134304.033224717
2154-09-01,Mars,5914059.30801381,212350465.43776977,97258870.29978336
2154-09-01,Jupiter,468150544.91323113,539399000.9362649,219779642.98570967
